"asin","title","author"
"1455514004","We Make the Road by Walking: A Year-Long Quest for Spiritual Formation, Reorientation, and Activation","Brian D. McLaren"
"0061778184","How Jesus Became God: The Exaltation of a Jewish Preacher from Galilee","Bart D. Ehrman"
"0764210718","The Secret of Pembrooke Park","Julie Klassen"
"1594980284","Following Jesus","Paul Anderson"
"0819223247","Liturgical Life Principles: How Episcopal Worship Can Lead to Healthy and Authentic Living","Ian S. Markham"
"1599793121","Growing In The Prophetic: A practical biblical guide to dreams, visions, and spiritual gifts","Mike Bickle"
"0814449115","Lead with Humility: 12 Leadership Lessons from Pope Francis","Jeffrey A. Krames"
"0385347510","My Battle Against Hitler: Faith, Truth, and Defiance in the Shadow of the Third Reich","Dietrich von Hildebrand"
"0227174003","Richard Hooker and the Vision of God: Exploring the Origins of 'Anglicanism'","Charles Miller"
"1400314208","Lead Like Jesus: Lessons from the Greatest Leadership Role Model of All Time","Ken Blanchard"
"1451678568","Godwink Stories: A Devotional","SQuire Rushnell"
"0800699092","Mark As Story: An Introduction to the Narrative of a Gospel","David Rhoads"
"0828026998","Turn Your Eyes Upon Jesus","George R. Knight"
"1565119983","Growing Up Lutheran: What Does This Mean?","Janet Letnes Martin"
"0310293359","The Emotionally Healthy Church, Expanded Edition: A Strategy for Discipleship That Actually Changes Lives","Peter Scazzero"
"1586176641","History of the Catholic Church: From the Apostolic Age to the Third Millennium","James Hitchcock"
"0830833617","Sustainable Youth Ministry: Why Most Youth Ministry Doesn't Last and What Your Church Can Do About It","Mark DeVries"
"0736922563","Quiet Moments Alone with God: A Devotional for Women","Emilie Barnes"
"161638610X","The Harbinger: The Ancient Mystery That Holds the Secret of America's Future","Jonathan Cahn"
"0770435068","On Heaven and Earth: Pope Francis on Faith, Family, and the Church in the Twenty-First Century","Jorge Mario Bergoglio"
"0819224065","Episcopal Etiquette And Ethics: Living The Craft Of Priesthood In The Episcopal Church","James Barney Hawkins"
"1884479464","7 Secrets of Confession","Vinny Flynn"
"0800794125","Unbound: A Practical Guide to Deliverance","Neal Lozano"
"1781912718","Magnificent Obsession: Why Jesus is Great","David Robertson"
"1619691949","Change Your Words, Change Your Life: Understanding the Power of Every Word You Speak","Joyce Meyer"
"0310328179","Bread and   Wine: A Love Letter to Life Around the Table with Recipes","Shauna Niequist"
"1426209878","In the Footsteps of Jesus: A Chronicle of His Life and the Origins of Christianity","Jean-Pierre Isbouts"
"0768442141","The School of Seers Expanded Edition: A Practical Guide on How to See in The Unseen Realm","Jonathan Welton"
"1400320941","Jesus Lives: Seeing His Love in Your Life","Sarah Young"
"1484076435","The Pursuit of God","A. W. Tozer"
"161773554X","An Amish Christmas Quilt","Charlotte Hubbard"
"0768427533","The Father Says Today Vol. II: One Year of Daily Personal Prophetic Words","Russell E. Walden"
