id,name,university,domain,depts,field,url
2271,Heidi L Burross,University of Arizona,arizona.edu,Educational Psychology</li><li>Educational Psychology and Learning Systems</li><li>Educational Psychology and Educational Technology</li><li>Educational Technology</li><li>Education (Psychology and Technology)</li><li>School Psychology,Educational Psychology,https://www.coe.arizona.edu/faculty_profile/203
5385,Scott Shenker,University of California Berkeley,berkeley.edu,Computer Science</li><li>Computer and Information Science</li><li>Computer Science (Software Engineering)</li><li>Computer and Information Technology</li><li>Computer Science (Computer Networks)</li><li>Computer Science and Engineering</li><li>Computer Science and Linguistics</li><li>Computer Science (Intelligent Robotics)</li><li>Computer Science and Cognitive Science</li><li>Computer Science (Intelligent Robotics),Computer Sciences,http://www.eecs.berkeley.edu/Faculty/Homepages/shenker.html
40590,David Sears,Purdue University,purdue.edu,"Educational Studies</li><li>Education Policy and Leadership</li><li>Education, Leadership and Policy</li><li>Educational Policy and Leadership Studies</li><li>Education Leadership and Policy Analysis</li><li>Educational Policy Studies</li><li>Educational Leadership and Policy Studies</li><li>Educational Leadership and Policy</li><li>Educational Policy</li><li>Education Policy, Organization and Leadership</li><li>Educational Leadership",Educational Leadership,http://www.edst.purdue.edu/faculty_profiles/sears/
12126,Michael M Frank,Duke University,duke.edu,Immunology</li><li>Immunobiology</li><li>Infectious Diseases and Immunity</li><li>Immunology and Microbial Pathogenesis</li><li>Infectious Diseases and Microbiology,Immunology and Infectious Disease,http://pediatrics.duke.edu/faculty/details/0097142
22808,Avanti Althreya,Johns Hopkins University,jhu.edu,Applied Mathematics</li><li>Applied Mathematics and Scientific Computation</li><li>Applied Mathematical and Computational Sciences</li><li>Applied and Computational Mathematics</li><li>Computational Science</li><li>Applied Mathematics for the Life and Social Sciences</li><li>Computational and Applied Mathematics</li><li>Applied Mathematics and Statistics,Applied Mathematics,http://engineering.jhu.edu/ams/faculty/avanti-athreya/
27897,Theodore B Leinwand,University of Maryland College Park,umd.edu,"English Language and Literature</li><li>Literature</li><li>Language, Reading and Culture</li><li>Languages and Cultures</li><li>Literature and Creative Writing</li><li>English</li><li>English and American Indian Studies</li><li>Language, Literacy and Culture</li><li>Literature in English",English Language and Literature,http://www.english.umd.edu/featured_profiles/6002
18738,Mimi Zolan,Indiana University Bloomington,indiana.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",http://www.bio.indiana.edu/faculty/directory/profile.php?person=mzolan
47546,Ryan T Gill,University of Colorado Boulder,colorado.edu,Chemical Engineering</li><li>Bioengineering</li><li>Chemical and Biological Engineering</li><li>Biomolecular Science and Engineering</li><li>Petroleum Engineering</li><li>Chemical and Biochemical Engineering</li><li>Biomolecular Chemistry</li><li>Chemical and Biomedical Engineering</li><li>Chemical and Biomolecular Engineering</li><li>Chemical and Petroleum Engineering,Chemical Engineering,http://www.colorado.edu/chbe/ryan-t-gill
25010,Roger Calantone,Michigan State University,msu.edu,"Applied Management and Decision Sciences</li><li>Business Administration</li><li>Business</li><li>Management</li><li>Administration, Leadership and Technology</li><li>Managerial Economics and Strategy</li><li>Management and Organizations</li><li>Operations Research</li><li>Operations and Information Management</li><li>Operations Research and Financial Engineering","Business Administration, Management, and Operations",http://broad.msu.edu/facultystaff/rogercal/
16643,Peter D Goldsmith,University of Illinois at Urbana-Champaign,illinois.edu,"Agricultural Economics</li><li>Agricultural and Resource Economics</li><li>Agricultural and Applied Economics</li><li>Agricultural, Food and Resource Economics</li><li>Agricultural, Environmental and Development Economics</li><li>Agricultural and Consumer Economics</li><li>Agricultural, Environmental and Developmental Economics",Agricultural and Resource Economics,http://web.extension.illinois.edu/state/staffdetail.cfm?StaffID=949
