id,name,university,domain,depts,field,dupct
31127,Alexander R Galloway,New York University,nyu.edu,"Cinema-Television (Critical Studies)</li><li>Cinema Studies</li><li>Cinema-Television (Cinema Critical Studies)</li><li>Media, Culture and Communication</li><li>Visual Studies</li><li>Media, Technology and Society</li><li>Cinema and Media Studies</li><li>Screen Cultures</li><li>Film and Media Studies</li><li>Media Arts and Technology</li><li>Film Studies",Film and Media Studies,1
32760,Michael W Reed,New York University,nyu.edu,"Applied Management and Decision Sciences</li><li>Business Administration</li><li>Business</li><li>Management</li><li>Administration, Leadership and Technology</li><li>Managerial Economics and Strategy</li><li>Management and Organizations</li><li>Operations Research</li><li>Operations and Information Management</li><li>Operations Research and Financial Engineering","Business Administration, Management, and Operations",1
31562,Daniel Rifkin,New York University,nyu.edu,Basic Medical Science</li><li>Medical Physics</li><li>Molecular Pathology</li><li>Center for Neural Science</li><li>Medical Pharmacology</li><li>Basic Medical Sciences</li><li>Medical Neurobiology</li><li>Medical Science</li><li>Medical Education and Biomedical Informatics</li><li>Social and Preventative Medicine,Medical Sciences,1
378,Dominique R Sepowitz,Arizona State University,asu.edu,Justice Studies</li><li>Ethics and Legal Studies,Legal Studies,1
16148,Joanne C Sanford,University of Illinois at Urbana-Champaign,illinois.edu,Agronomy</li><li>Plant Biology</li><li>Plant Pathology</li><li>Plant Biological Sciences</li><li>Botany and Plant Pathology</li><li>Applied Plant Sciences</li><li>Horticulture and Agronomy</li><li>Horticulture</li><li>Plant Science</li><li>Crop Sciences,Plant Sciences,1
44158,William Held,State University of New York Buffalo,buffalo.edu,Medicinal Chemistry and Molecular Pharmacology</li><li>Pharmacology and Toxicology</li><li>Toxicology</li><li>Medicinal Chemistry</li><li>Molecular Pharmacology and Toxicology</li><li>Molecular and Medical Pharmacology</li><li>Pharmacology</li><li>Medicinal Chemistry and Pharmacology</li><li>Molecular and Environmental Toxicology</li><li>Human Toxicology,"Pharmacology, Toxicology and Environmental Health",1
23930,Deborah Mccullough,Michigan State University,msu.edu,Forestry and Natural Resources</li><li>Forest Resources</li><li>Forestry,Forest Sciences,1
789,Judy Grace,Arizona State University,asu.edu,"Education, Curriculum and Instruction</li><li>Curriculum and Instruction</li><li>Learning and Instruction</li><li>Curriculum, Instruction and Teacher Education</li><li>Instruction and Learning</li><li>Instruction and Learning, Early Intervention",Curriculum and Instruction,1
41528,Kiersten A Wise,Purdue University,purdue.edu,Agronomy</li><li>Plant Biology</li><li>Plant Pathology</li><li>Plant Biological Sciences</li><li>Botany and Plant Pathology</li><li>Applied Plant Sciences</li><li>Horticulture and Agronomy</li><li>Horticulture</li><li>Plant Science</li><li>Crop Sciences,Plant Sciences,1
39762,Robert R Knowles,Princeton University,princeton.edu,"Chemistry</li><li>Chemistry and Chemical Biology</li><li>Chemistry and Biochemistry</li><li>Chemistry </li><li>Chemical Biology</li><li>Chemistry (Chemical Physics)</li><li>Environmental Chemistry and Technology</li><li>Chemistry, Physical</li><li>Organic Chemistry</li><li>Chemistry, Biochemistry",Chemistry,1
19268,Sumit Ganguly,Indiana University Bloomington,indiana.edu,Political Science</li><li>Politics</li><li>Government and Politics</li><li>Government</li><li>International Relations</li><li>Political Economy and Public Policy</li><li>Political Science and International Affairs</li><li>Political Economy and Government</li><li>International Relations and Public Administration,Political Science,1
27852,Steven Wallace,University of Maryland College Park,umd.edu,"Physics</li><li>Physics and Astronomy</li><li>Physics (Biophysics)</li><li>Plasma Physics</li><li>Applied Physics</li><li>Applied and Engineering Physics</li><li>Physics-Biophysics</li><li>Physics, Nuclear",Physics,1
29843,Lucy Dunne,University of Minnesota,umn.edu,"Design</li><li>Design, Housing and Apparel</li><li>Visual Arts</li><li>Art and Art Professions</li><li>Art and Design",Art and Design,1
24819,Patricia A Schenck,Michigan State University,msu.edu,Pathology</li><li>Preventive Medicine and Health Behavior Research</li><li>Otolaryngology</li><li>Pathology and Laboratory Medicine</li><li>Surgery</li><li>Urology</li><li>Oncology</li><li>Pathology and Pathobiology,Medical Specialties,1
33515,Vologodskii Alexander,New York University,nyu.edu,"Chemistry</li><li>Chemistry and Chemical Biology</li><li>Chemistry and Biochemistry</li><li>Chemistry </li><li>Chemical Biology</li><li>Chemistry (Chemical Physics)</li><li>Environmental Chemistry and Technology</li><li>Chemistry, Physical</li><li>Organic Chemistry</li><li>Chemistry, Biochemistry",Chemistry,1
31636,David Zagzag,New York University,nyu.edu,Basic Medical Science</li><li>Medical Physics</li><li>Molecular Pathology</li><li>Center for Neural Science</li><li>Medical Pharmacology</li><li>Basic Medical Sciences</li><li>Medical Neurobiology</li><li>Medical Science</li><li>Medical Education and Biomedical Informatics</li><li>Social and Preventative Medicine,Medical Sciences,1
27879,Suzanne Beicken,University of Maryland College Park,umd.edu,Music</li><li>Music and Performing Arts Professions</li><li>Music Education</li><li>Musicology</li><li>Music Theory</li><li>Ethnomusicology</li><li>Music Studies</li><li>Music (Historical Musicology)</li><li>Music (History and Literature),Music,1
53446,Fredrick Milstein,University of California Santa Barbara,ucsb.edu,Mechanical Engineering</li><li>Mechanical and Aerospace Engineering</li><li>Engineering Sciences (Mechanical Engineering)</li><li>Mechanical Engineering and Materials Science</li><li>Mechanical and Aeronautical Engineering</li><li>Mechanical Science and Engineering</li><li>Mechanical Engineering and Applied Mechanics</li><li>Engineering Mechanics</li><li>Theoretical and Applied Mechanics</li><li>Engineering Sciences (Applied Mechanics),Mechanical Engineering,1
30225,Paul Garrett,University of Minnesota,umn.edu,"Mathematics</li><li>Mathematics, Statistics and Computer Science</li><li>Scientific Computation",Mathematics,1
27492,Rao P Gullapalli,University of Maryland College Park,umd.edu,"Electrical Engineering</li><li>Electrical Engineering and Computer Sciences</li><li>Electrical Engineering (Communication Theory and Systems)</li><li>Electrical Engineering (Electronic Circuits and Systems)</li><li>Electrical Engineering (Signal and Image Processing)</li><li>Electrical Engineering (Photonics)</li><li>Electrical and Computer Engineering</li><li>Computer Engineering</li><li>Electrical Engineering (Applied Physics)</li><li>Electrical and Systems Engineering</li><li>Electrical Engineering (Electrical Circuits and Systems)</li><li>Electrical Engineering (VLSI Design)</li><li>Electrical Engineering (Intelligent Systems, Robotics and Controls)",Electrical and Computer Engineering,1
