id,name,university,domain,depts,field,dupct,url
28191,Alex J Rothman,University of Minnesota,umn.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.psych.umn.edu/people/faculty.php
28274,Ann Meier,University of Minnesota,umn.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://cla.umn.edu/about/directory/profile/meierann
28277,Ann S Masten,University of Minnesota,umn.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://discover.umn.edu/journalists/experts/ann-s-masten
28544,Charles Anderson,University of Minnesota,umn.edu,"Statistics</li><li>Statistical Science</li><li>Measurement, Statistics and Evaluation</li><li>Statistics and Applied Probability</li><li>Biostatistics - Public Health</li><li>Survey Methodology</li><li>Mathematical Statistics</li><li>Measurement and Quantitative Methods</li><li>Biostatistics and Public Health</li><li>Biostatistics",Statistics and Probability,1,http://fwcb.cfans.umn.edu/personnel/charles-anderson
28662,Daheia B Anderson,University of Minnesota,umn.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://www.cehd.umn.edu/Kin/people/barra027.html
28663,Dale Blyth,University of Minnesota,umn.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://www.cehd.umn.edu/ssw/people/profiles/BlythD.asp
28685,Daniel J Philippon,University of Minnesota,umn.edu,"Rhetoric, Composition and the Teaching of English</li><li>Rhetoric</li><li>Rhetoric and Scientific and Technical Communication</li><li>Rhetoric and Writing</li><li>Rhetoric and Professional Communication",Rhetoric and Composition,1,http://www.tc.umn.edu/~danp/
29053,George Goding,University of Minnesota,umn.edu,Occupational Science</li><li>Human Movement Science</li><li>Biokinesiology and Physical Therapy</li><li>Rehabilitation Science</li><li>Biokinesiology</li><li>Rehabilitation Psychology</li><li>Health and Rehabilitation Sciences</li><li>Occupational Therapy</li><li>Rehabilitation Counselor Education</li><li>Physical Rehabilitation Science,Rehabilitation and Therapy,1,http://www.ent.umn.edu/bio/ent-faculty/george-goding
29096,Grace E Pluhar,University of Minnesota,umn.edu,Veterinary Microbiology and Preventative Medicine</li><li>Pathobiology</li><li>Veterinary Medicine</li><li>Veterinary Medical Science</li><li>Veterinary Pathology</li><li>Veterinary Clinical Sciences</li><li>Comparative and Veterinary Medicine</li><li>Veterinary Preventive Medicine</li><li>Veterinary Pathobiology</li><li>Veterinary Clinical Medicine,Veterinary Medicine,1,http://www.cvm.umn.edu/vcs/facultystaff/elizabethpluhar/home.html
29513,John W Day,University of Minnesota,umn.edu,Occupational Science</li><li>Human Movement Science</li><li>Biokinesiology and Physical Therapy</li><li>Rehabilitation Science</li><li>Biokinesiology</li><li>Rehabilitation Psychology</li><li>Health and Rehabilitation Sciences</li><li>Occupational Therapy</li><li>Rehabilitation Counselor Education</li><li>Physical Rehabilitation Science,Rehabilitation and Therapy,1,http://www.neuroscience.umn.edu/ProStu/facprof/day.html
29541,Jose V Pardo,University of Minnesota,umn.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://james.psych.umn.edu/~jvpardo/
29613,Karen Monsen,University of Minnesota,umn.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://www.nursing.umn.edu/faculty-staff/karen-monsen/index.htm
29846,Luis R Garcia,University of Minnesota,umn.edu,"Spanish</li><li>Hispanic and Luso Brazilian Literatures and Languages</li><li>Spanish and Portuguese</li><li>Spanish and Portuguese Languages and Literatures</li><li>Spanish Language and Literature</li><li>Hispanic and Luso-Brazilian Literatures and Linguistics</li><li>Spanish and Portuguese Languages and Cultures</li><li>Hispanic and Luso Literatures, Cultures and Linguistics</li><li>Hispanic Languages and Literatures</li><li>Portuguese",Spanish and Portuguese Language and Literature,1,http://spanport.umn.edu/people/facultyprofile.php?UID=laramosg
29851,Lyndel King,University of Minnesota,umn.edu,"Spanish</li><li>Hispanic and Luso Brazilian Literatures and Languages</li><li>Spanish and Portuguese</li><li>Spanish and Portuguese Languages and Literatures</li><li>Spanish Language and Literature</li><li>Hispanic and Luso-Brazilian Literatures and Linguistics</li><li>Spanish and Portuguese Languages and Cultures</li><li>Hispanic and Luso Literatures, Cultures and Linguistics</li><li>Hispanic Languages and Literatures</li><li>Portuguese",Spanish and Portuguese Language and Literature,1,http://www.upress.umn.edu/book-division/books/weisman-art-museum
29972,Matt Kushner,University of Minnesota,umn.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.peds.umn.edu/education/psych/faculty/matt-kushner/index.htm
