id,name,university,domain,depts,field,dupct,url
123,Barry Bozeman,Arizona State University,asu.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,https://sustainability.asu.edu/person/barry-bozeman/
231,Cheryl D Conrad,Arizona State University,asu.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,https://webapp4.asu.edu/directory/cv?id=25449
384,Donald Homa,Arizona State University,asu.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,https://webapp4.asu.edu/directory/person/31129
444,Emil Volek,Arizona State University,asu.edu,"Spanish</li><li>Hispanic and Luso Brazilian Literatures and Languages</li><li>Spanish and Portuguese</li><li>Spanish and Portuguese Languages and Literatures</li><li>Spanish Language and Literature</li><li>Hispanic and Luso-Brazilian Literatures and Linguistics</li><li>Spanish and Portuguese Languages and Cultures</li><li>Hispanic and Luso Literatures, Cultures and Linguistics</li><li>Hispanic Languages and Literatures</li><li>Portuguese",Spanish and Portuguese Language and Literature,1,https://international.clas.asu.edu/people/emil-volek
796,Juliane Schober,Arizona State University,asu.edu,Religious Studies</li><li>Religion</li><li>Divinity</li><li>Buddhist Studies</li><li>Religion and Social Ethics,Religion,1,https://webapp4.asu.edu/directory/person/44719
917,Lela Williams,Arizona State University,asu.edu,Social Welfare</li><li>Social Work,Social Work,1,https://asunews.asu.edu/20100416_undergradresearch
1280,Robin Bonifas,Arizona State University,asu.edu,Social Welfare</li><li>Social Work,Social Work,1,https://webapp4.asu.edu/directory/person/1086545
1501,Tod D Swanson,Arizona State University,asu.edu,Religious Studies</li><li>Religion</li><li>Divinity</li><li>Buddhist Studies</li><li>Religion and Social Ethics,Religion,1,https://webapp4.asu.edu/directory/person/104139
1532,Virginia S Kwan,Arizona State University,asu.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,https://webapp4.asu.edu/directory/person/1315268
1826,Carol Evans,University of Arizona,arizona.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,1,https://www.coe.arizona.edu/faculty_profile/277
2033,Don Grant,University of Arizona,arizona.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://sociology.arizona.edu/events/brownbag-don-grant
2182,Gabriel J Chin,University of Arizona,arizona.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.law.arizona.edu/faculty/facultypubs/documents/cv/147/147.pdf
2272,Helen Jost,University of Arizona,arizona.edu,Veterinary Microbiology and Preventative Medicine</li><li>Pathobiology</li><li>Veterinary Medicine</li><li>Veterinary Medical Science</li><li>Veterinary Pathology</li><li>Veterinary Clinical Sciences</li><li>Comparative and Veterinary Medicine</li><li>Veterinary Preventive Medicine</li><li>Veterinary Pathobiology</li><li>Veterinary Clinical Medicine,Veterinary Medicine,1,http://rgw.arizona.edu/directory
2359,Jane Erin,University of Arizona,arizona.edu,Special Education</li><li>Special Education and Rehabilitation</li><li>Education - Special Education,Special Education and Teaching,1,https://www.coe.arizona.edu/faculty_profile/274
2508,John Warnock,University of Arizona,arizona.edu,"Rhetoric, Composition and the Teaching of English</li><li>Rhetoric</li><li>Rhetoric and Scientific and Technical Communication</li><li>Rhetoric and Writing</li><li>Rhetoric and Professional Communication",Rhetoric and Composition,1,http://english.arizona.edu/users/john-p-warnock
2669,Kraig Beyerlein,University of Arizona,arizona.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://www.u.arizona.edu/~kbeyerle/
2835,Mark Walker,University of Arizona,arizona.edu,Economics</li><li>Applied Economics</li><li>Development</li><li>Economics and Business</li><li>Applied Economics and Management</li><li>Health Care Management and Economics</li><li>Economics and International Affairs,Economics,2,http://www.u.arizona.edu/~mwalker/
2987,Nancy Mather,University of Arizona,arizona.edu,Special Education</li><li>Special Education and Rehabilitation</li><li>Education - Special Education,Special Education and Teaching,1,https://www.coe.arizona.edu/faculty_profile/1883
3162,Ray Nagle,University of Arizona,arizona.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",2,http://azcc.arizona.edu/profile/ray-nagle?page=1
3490,Terri Riffe,University of Arizona,arizona.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,1,http://uaatwork.arizona.edu/uannounce/dr-terri-riffe-retirement-reception
3742,Ananya Roy,University of California Berkeley,berkeley.edu,"City and Regional Planning</li><li>Environmental Design and Planning</li><li>Urban Design and Planning</li><li>Built Environment</li><li>Planning, Policy and Design</li><li>Community and Regional Planning</li><li>Planning and Real Estate Development</li><li>Regional Planning</li><li>Planning, Design and Construction</li><li>Regional School","Urban, Community and Regional Planning",1,http://vcresearch.berkeley.edu/faculty/ananya-roy
3986,Claude Fischer,University of California Berkeley,berkeley.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://sociology.berkeley.edu/faculty/claude-s-fischer
4290,Geoff Saxe,University of California Berkeley,berkeley.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,1,http://gse.berkeley.edu/people/geoffrey-b-saxe
4410,Iris Mauss,University of California Berkeley,berkeley.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://psychology.berkeley.edu/people/faculty
4433,Jack Colford,University of California Berkeley,berkeley.edu,"Statistics</li><li>Statistical Science</li><li>Measurement, Statistics and Evaluation</li><li>Statistics and Applied Probability</li><li>Biostatistics - Public Health</li><li>Survey Methodology</li><li>Mathematical Statistics</li><li>Measurement and Quantitative Methods</li><li>Biostatistics and Public Health</li><li>Biostatistics",Statistics and Probability,1,http://coeh.berkeley.edu/people/faculty/colford.htm
4508,Jeffrey Skoller,University of California Berkeley,berkeley.edu,"Rhetoric, Composition and the Teaching of English</li><li>Rhetoric</li><li>Rhetoric and Scientific and Technical Communication</li><li>Rhetoric and Writing</li><li>Rhetoric and Professional Communication",Rhetoric and Composition,1,http://filmmedia.berkeley.edu/faculty-profile/jeffrey-skoller
4590,John M Colford,University of California Berkeley,berkeley.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://sph.berkeley.edu/john-colford
4694,Kathleen Donegan,University of California Berkeley,berkeley.edu,"History</li><li>History and Philosophy of Science</li><li>History of Science</li><li>History of American Civilization</li><li>Conceptual and Historical Studies of Science</li><li>History of Science, Technology and Medicine</li><li>History (Science Studies)</li><li>History of Science and Technology</li><li>History and Sociology of Science</li><li>History of Culture",History,2,http://english.berkeley.edu/profiles/23
4695,Kathleen E Metz,University of California Berkeley,berkeley.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,2,http://gse.berkeley.edu/people/kathleen-e-metz
4758,Laura E Perez,University of California Berkeley,berkeley.edu,Ethnic Studies</li><li>American Indian Studies</li><li>African American Studies</li><li>African American and African Studies</li><li>African and African American Studies</li><li>Native American Studies</li><li>Chicana and Chicano Studies</li><li>African-American Studies</li><li>Hispanic Cultural Studies</li><li>Hispanic Studies,"Race, Ethnicity and Post-Colonial Studies",1,http://ethnicstudies.berkeley.edu/faculty/profile.php?person=12
5081,Oliver P John,University of California Berkeley,berkeley.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://psychology.berkeley.edu/people/oliver-p-john
5122,Paul L Richards,University of California Berkeley,berkeley.edu,"Physics</li><li>Physics and Astronomy</li><li>Physics (Biophysics)</li><li>Plasma Physics</li><li>Applied Physics</li><li>Applied and Engineering Physics</li><li>Physics-Biophysics</li><li>Physics, Nuclear",Physics,2,http://vcresearch.berkeley.edu/faculty/paul-l-richards
5183,Prentice Starkey,University of California Berkeley,berkeley.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,1,http://www.berkeley.edu/news/media/releases/99legacy/10-20-1999d.html
5309,Robert W Levenson,University of California Berkeley,berkeley.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://psychology.berkeley.edu/people/robert-w-levenson
6027,C G Salfati,City University of New York,cuny.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://www.jjay.cuny.edu/faculty/c-gabrielle-salfati
6151,Christopher Braun,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Psychology/Faculty-Bios/Christopher-Braun
6201,Cynthia F Epstein,City University of New York,cuny.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://www.gc.cuny.edu/Faculty/Core-Bios/Cynthia-Fuchs-Epstein
6325,Demis Glasford,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Psychology/Faculty-Bios/Demis-Glasford
6369,Don Mitchell,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://pcp.gc.cuny.edu/events/don-mitchell-organized-resistance-persistent-landscapes-and-sculpted-futures-at-the-end-of-the-bracero-program-in-california/
6385,Douglas Geers,City University of New York,cuny.edu,Music</li><li>Music and Performing Arts Professions</li><li>Music Education</li><li>Musicology</li><li>Music Theory</li><li>Ethnomusicology</li><li>Music Studies</li><li>Music (Historical Musicology)</li><li>Music (History and Literature),Music,2,http://www.brooklyn.cuny.edu/web/academics/schools/mediaarts/departments/music/faculty/douglasgeers.php
6492,Ernest Drucker,City University of New York,cuny.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://justpublics365.commons.gc.cuny.edu/2013/12/10/special-interview-ernie-drucker/
6496,Esther Allen,City University of New York,cuny.edu,"Spanish</li><li>Hispanic and Luso Brazilian Literatures and Languages</li><li>Spanish and Portuguese</li><li>Spanish and Portuguese Languages and Literatures</li><li>Spanish Language and Literature</li><li>Hispanic and Luso-Brazilian Literatures and Linguistics</li><li>Spanish and Portuguese Languages and Cultures</li><li>Hispanic and Luso Literatures, Cultures and Linguistics</li><li>Hispanic Languages and Literatures</li><li>Portuguese",Spanish and Portuguese Language and Literature,1,http://www.baruch.cuny.edu/wsas/academics/modern_languages/eallen.htm
6536,Francisco Soto,City University of New York,cuny.edu,"Spanish</li><li>Hispanic and Luso Brazilian Literatures and Languages</li><li>Spanish and Portuguese</li><li>Spanish and Portuguese Languages and Literatures</li><li>Spanish Language and Literature</li><li>Hispanic and Luso-Brazilian Literatures and Linguistics</li><li>Spanish and Portuguese Languages and Cultures</li><li>Hispanic and Luso Literatures, Cultures and Linguistics</li><li>Hispanic Languages and Literatures</li><li>Portuguese",Spanish and Portuguese Language and Literature,1,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Hispanic-and-Luso-Brazilian-Literatures-and-Languages/Profiles/Francisco-Soto
6802,Irwin Epstein,City University of New York,cuny.edu,Social Welfare</li><li>Social Work,Social Work,1,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Social-Welfare/Faculty-Bios/Irwin-Epstein
7112,Joshua Brumberg,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Psychology/Faculty-Bios/Joshua-Brumberg
7168,Karen Lombardi,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://writingcenter.baruch.cuny.edu/about-us/meet-our-staff/
7197,Kathleen S Berger,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.bcc.cuny.edu/College-Catalog/2012-2013/Faculty_Staff_2012_2013_catalog.pdf
7221,Kevin Costello,City University of New York,cuny.edu,"Mathematics</li><li>Mathematics, Statistics and Computer Science</li><li>Scientific Computation",Mathematics,2,http://www.hunter.cuny.edu/art/art-history/faculty-staff-ah/all-faculty-staff
7418,Maria F Ghilardi,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.ccny.cuny.edu/profiles/mariafelice-ghilardi.cfm
7559,Mel Pipe,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.gc.cuny.edu/CUNY_GC/media/CUNY-Graduate-Center/PDF/Psychology/Images%20for%20committee%20members/Approved_Minutes-Executive-Committee-Meeting_FEB-13-2015.pdf
7636,Mimi Abramovitz,City University of New York,cuny.edu,Social Welfare</li><li>Social Work,Social Work,1,http://www.roosevelthouse.hunter.cuny.edu/?faculty=mimi-abramovitz
7690,Nancy L Sohler,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.ccny.cuny.edu/profiles/nancy-sohler.cfm
7772,Pamela Stone,City University of New York,cuny.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://www.hunter.cuny.edu/sociology/faculty/pamela-stone
7815,Paul Kurzman,City University of New York,cuny.edu,Social Welfare</li><li>Social Work,Social Work,1,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Social-Welfare/Faculty-Bios/Paul-Kurzman
7859,Peter Meunnig,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.ccny.cuny.edu/news/Jay-Mwamba-January-24-2005.cfm
8245,Stephannie Woolhandler,City University of New York,cuny.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Public-Health-(DPH)/Faculty-Bios/Stephanie-Woolhandler
8892,David A Gallo,University of Chicago,uchicago.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://psychology.uchicago.edu/people/faculty/dgallo.shtml
9072,Gary Tubb,University of Chicago,uchicago.edu,South and Southeast Asian Studies</li><li>South Asian Languages and Civilizations</li><li>South Asia Regional Studies</li><li>South Asian Languages and Civilizations and History</li><li>South Asian Studies</li><li>South Asian Languages and Civilizations and English Language and Literature,South and Southeast Asian Languages and Societies,1,http://salc.uchicago.edu/faculty/tubb
9170,Ioanna Marinescu,University of Chicago,uchicago.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,http://harris.uchicago.edu/directory/faculty/ioana_marinescu
9244,Jens Ludwig,University of Chicago,uchicago.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,http://harris.uchicago.edu/directory/faculty/jens_ludwig
9377,Kate Keenan,University of Chicago,uchicago.edu,"Public Policy and Administration</li><li>Public Policy</li><li>Health Services</li><li>Public Administration</li><li>Public Affairs</li><li>Policy, Planning and Development</li><li>Social Service Administration</li><li>Public Policy Studies</li><li>Education and Social Policy - Learning Sciences</li><li>Health Policy And Management</li><li>Social Policy to Education and Social Policy - Human Development and Social Policy</li><li>Public and International Affairs</li><li>Health Policy</li><li>Energy and Resources</li><li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,https://psychiatry.uchicago.edu/directory/kathryn-e-keenan-phd
9450,Lenore Grenoble,University of Chicago,uchicago.edu,Slavic Languages and Literatures</li><li>Central Eurasian Studies</li><li>Slavic Languages and Literatures and Linguistics</li><li>Slavic and East European Languages and Literatures</li><li>Slavic Linguistics</li><li>Baltic and Slavic Languages and Literatures,Slavic Languages and Societies,1,https://linguistics.uchicago.edu/faculty/grenoble
